,country,year,population,continent,lifeExp,gdpPercap
0,Afghanistan,1997,22227415,Asia,41.763000000000005,635.341351
1,Afghanistan,2002,25268405,Asia,42.129,726.7340548
2,Afghanistan,2007,31889923,Asia,43.828,974.5803384
3,Afghanistan,1952,8425333,Asia,28.801,779.4453145
4,Afghanistan,1957,9240934,Asia,30.331999999999997,820.8530296
5,Afghanistan,1962,10267083,Asia,31.997,853.1007099999999
6,Afghanistan,1967,11537966,Asia,34.02,836.1971382
7,Afghanistan,1972,13079460,Asia,36.088,739.9811057999999
8,Afghanistan,1977,14880372,Asia,38.438,786.11336
9,Afghanistan,1982,12881816,Asia,39.854,978.0114388000001
10,Afghanistan,1987,13867957,Asia,40.821999999999996,852.3959447999999
11,Afghanistan,1992,16317921,Asia,41.674,649.3413952000001
